,smiles
(±)-Vanillylmandelic acid,
L-2-aminoadipic acid,
2-methoxyestradiol,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
Oleic Acid,CCCCCCCC/C=C\CCCCCCCC(=O)O
4-Hydroxy-3-methoxyphenylacetic acid,
L-Aspartic acid,
D-Serine,
5-Fluorouracil,
Melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
4-Imidazoleacrylic acid,
N-Methyl-D-aspartic acid,
"1,7-Dimethylxanthine",
Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C
N-Acetyl-L-Cysteine,
Taurine,NCCS(=O)(=O)O
Theophylline,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O
Uridine 5'-diphosphate sodium,
Phosphonoacetic acid,
L-Arginine,
Forskolin,
6-Aminohexanoic acid,
Protoporphyrin IX disodium,
Estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
"2,3-Butanedione",
Azelaic acid,O=C(O)CCCCCCCC(=O)O
Cortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
Acetamide,CC(N)=O
Hypotaurine,NCCS(=O)O
"3,4-Dihydroxyphenylacetic acid",O=C(O)Cc1ccc(O)c(O)c1
Quinolinic acid,O=C(O)c1cccnc1C(=O)O
O-Phospho-L-serine,
Hydroquinone,Oc1ccc(O)cc1
"L-3,4-Dihydroxyphenylalanine",
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O
L-Tryptophan,
Retinoic acid,
GABA,
L-Glutamine,
5-Hydroxy-L-tryptophan,
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
N-Acetyl-5-hydroxytryptamine,
5-Hydroxyindolacetic acid,
Cortexolone,
Kynurenic acid,
"Adenosine 3',5'-cyclic monophosphate",
Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
ISRIB,
(±)-Metoprolol (+)-tartrate,
RO5263397,
O-(Carboxymethyl)hydroxylamine hemihydrochloride,
Phloretin,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
8-Bromo-cAMP sodium,
Aminophylline ethylenediamine,
Harmane,
3-Nitropropionic acid,
Aminoguanidine hemisulfate,N=C(N)NN.O=S(=O)(O)O
Oxotremorine sesquifumarate salt,O=C(O)/C=C/C(=O)O.O=C1CCCN1CC#CCN1CCCC1
Nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
Albuterol hemisulfate,
Oltipraz metabolite M2,
Caffeic Acid,O=C(O)/C=C/c1ccc(O)c(O)c1
Corticosterone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO
"3,7-Dimethyl-1-propargylxanthine",
Serotonin hydrochloride,Cl.NCCc1c[nH]c2ccc(O)cc12
CID 11210285 hydrochloride,
Ifenprodil tartrate,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1.O=C(O)CCC(=O)O
Cisplatin,
Myricetin,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12
Agmatine sulfate,N=C(N)NCCCCN.O=S(=O)(O)O
(±)-Baclofen,
Debrisoquin sulfate,N=C(N)N1CCc2ccccc2C1.N=C(N)N1CCc2ccccc2C1.O=S(=O)(O)O
(±)-threo-1-Phenyl-2-decanoylamino-3-morpholino-1-propanol hydrochloride,
Metaproterenol hemisulfate,
Sorafenib tosylate,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1
(±)-Propranolol hydrochloride,
(-)-Cotinine,
Formoterol,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1
Actinonin,CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N1CCC[C@H]1CO)C(C)C
Moclobemide,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
4-Hydroxyphenethylamine hydrochloride,
(+/-)-Anisodamine,
Pyrocatechol,
Terbutaline hemisulfate,
Reserpine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
Esomeprazole magnesium dihydrate,
Resveratrol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
2-Chloroadenosine,
Colchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
S-Methylisothiourea hemisulfate,
Tryptamine hydrochloride,Cl.NCCc1c[nH]c2ccccc12
Bisoprolol hemifumarate salt,
(-)-Tetramisole hydrochloride,
9-cyclopentyladenine,
S-Nitrosoglutathione,N[C@@H](CCC(=O)N[C@@H](CSN=O)C(=O)NCC(=O)O)C(=O)O
Tetraethylthiuram disulfide,
3-Isobutyl-1-methylxanthine,
L-alpha-Methyl-p-tyrosine,
LW106,
Idazoxan hydrochloride,Cl.c1ccc2c(c1)OCC(C1=NCCN1)O2
Benserazide hydrochloride,Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O
Fusaric acid,CCCCc1ccc(C(=O)O)nc1
Flutamide,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
"(±)-3-(3,4-dihydroxyphenyl)-2-methyl-DL-alanine",
1-Phenyl-3-(2-thiazolyl)-2-thiourea,
Tetramisole hydrochloride,Cl.c1ccc(C2CN3CCSC3=N2)cc1
TDFA trifluoroacetate salt,
Pramipexole dihydrochloride,CCCN[C@H]1CCc2nc(N)sc2C1.Cl.Cl.O
Amantadine hydrochloride,Cl.NC12CC3CC(CC(C3)C1)C2
Anagrelide hydrochloride,Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
"L-3,4-Dihydroxyphenylalanine methyl ester hydrochloride",
Arecaidine propargyl ester hydrobromide,Br.C#CCOC(=O)C1=CCCN(C)C1
"1,10-Diaminodecane",
Lomeguatrib,Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1
"UK 14,304",
Kainic acid,C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O
5-hydroxydecanoic acid sodium,
Tyrphostin 23,N#CC(C#N)=Cc1ccc(O)c(O)c1
Rufinamide,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
Triflusal,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O
Alloxazine,O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1
"6,7-ADTN hydrobromide",
Chlormezanone,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
DL-alpha-Methyl-p-tyrosine,
Bay 11-7082,
"2,2'-Bipyridyl",
Dihydrokainic acid,
ATPA,
3'-Azido-3'-deoxythymidine,
Cimetidine,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
1-[2-(Trifluoromethyl)phenyl]imidazole,
Chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
(-)-Perillic acid,
Pargyline hydrochloride,C#CCN(C)Cc1ccccc1.Cl
L-alpha-Methyl DOPA,
Bropirimine,Nc1nc(=O)c(Br)c(-c2ccccc2)[nH]1
SMER28,
Spermine tetrahydrochloride,Cl.NCCCNCCCCNCCCN
(+)-Pilocarpine hydrochloride,
Pilocarpine nitrate,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.O=[N+]([O-])O
D-609 potassium,
Mexiletene hydrochloride,
1-(2-Methoxyphenyl)piperazine hydrochloride,
O-Methylserotonin hydrochloride,
Mecamylamine hydrochloride,CNC1(C)C2CCC(C2)C1(C)C.Cl
Droxinostat,
Felbamate,NC(=O)OCC(COC(N)=O)c1ccccc1
"alpha,beta-Methylene adenosine 5'-triphosphate dilithium",
alpha-Methyl-DL-tyrosine methyl ester hydrochloride,
(-)-Isoproterenol hydrochloride,
Genipin,COC(=O)C1=CO[C@@H](O)[C@@H]2C(CO)=CC[C@H]12
Phenamil methanesulfonate,CS(=O)(=O)O.N=C(NC(=O)c1nc(Cl)c(N)nc1N)Nc1ccccc1
Pimprinine,
Triamterene,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
Methoxamine hydrochloride,COc1ccc(OC)c(C(O)C(C)N)c1.Cl
NS3861,
R(-)-Isoproterenol (+)-bitartrate,
Nalidixic acid sodium,
"2,3-Dimethoxy-1,4-naphthoquinone",
Tocainide hydrochloride,Cc1cccc(C)c1NC(=O)C(C)N.Cl
Carmofur,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O
10058-F4,
Pirfenidone,Cc1ccc(=O)n(-c2ccccc2)c1
N-omega-Methyl-5-hydroxytryptamine oxalate salt,
Sorbinil,O=C1NC(=O)[C@@]2(CCOc3ccc(F)cc32)N1
SIB 1757,
O6-benzylguanine,
5-Carboxamidotryptamine maleate,
Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
INF39,
Sumanirole maleate,
D-ribofuranosylbenzimidazole,
Doxofylline,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
(±)-Isoproterenol hydrochloride,
L-Dopa ethyl ester,
Oxotremorine methiodide,C[N+](C)(C)CC#CCN1CCCC1=O.[I-]
CCCI-01,
Nilutamide,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
Tyrphostin 1,COc1ccc(C=C(C#N)C#N)cc1
Furafylline,Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2Cc1ccco1
Aniracetam,COc1ccc(C(=O)N2CCCC2=O)cc1
Cinoxacin,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
5-(N-Ethyl-N-isopropyl)amiloride,CCN(c1nc(N)c(C(=O)NC(=N)N)nc1Cl)C(C)C
Haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
Celiprolol hydrochloride,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1.Cl
Trimipramine maleate,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21.O=C(O)/C=C\C(=O)O
Naltrexone hydrochloride,Cl.O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
Cilostazol,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
13-cis-retinoic acid,
MCC-555,
Urapidil hydrochloride,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1.Cl
BAY 61-3606 hydrochloride hydrate,
Nimesulide,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
N-Oleoylethanolamine,
Hexamethonium dichloride,
"4-Amino-1,8-naphthalimide",
NSC405020,
SGC-AAK1-1N,
Tulobuterol hydrochloride,CC(C)(C)NCC(O)c1ccccc1Cl.Cl
8-(p-Sulfophenyl)theophylline,
R(+)-Butylindazone,
Diphenyleneiodonium chloride,[Cl-].c1ccc2c(c1)[I+]c1ccccc1-2
Xylazine hydrochloride,Cc1cccc(C)c1NC1=NCCCS1.Cl
"L-Glutamic acid, N-phthaloyl-",
8-Methoxymethyl-3-isobutyl-1-methylxanthine,
"Hexahydro-sila-difenidol hydrochloride, p-fluoro analog",
(±)-Sotalol hydrochloride,
Teriflunomide,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
KU-55933,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1
Imazodan,O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1
Imipenem monohydrate,
"1,3-Dimethyl-8-phenylxanthine",
Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
Galloflavin potassium,
NBQX disodium,
Prochlorperazine dimaleate,
N-Phenylanthranilic acid,
ZCZ011,
Methiothepin mesylate,CS(=O)(=O)O.CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2
Hexamethonium bromide,C[N+](C)(C)CCCCCC[N+](C)(C)C.[Br-].[Br-]
"8-Cyclopentyl-1,3-dimethylxanthine",
Trihexyphenidyl hydrochloride,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
Entecavir,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21.O
Centrophenoxine hydrochloride,CN(C)CCOC(=O)COc1ccc(Cl)cc1.Cl
Amitriptyline hydrochloride,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl
Varespladib,CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1
Ro 04-6790 dihydrochloride,
Tetraisopropyl pyrophosphoramide,CC(C)NP(=O)(NC(C)C)OP(=O)(NC(C)C)NC(C)C
A-77636 hydrochloride,
Iofetamine hydrochloride,CC(C)NC(C)Cc1ccc(I)cc1.Cl
AMG 9810,
Brinzolamide,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
Ziprasidone hydrochloride monohydrate,
NSC 617145,
"L-701,324",
SB-525334,
Zanamivir,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N
Trifluoperazine dihydrochloride,
"5-(N,N-hexamethylene)amiloride",
"6-Methoxy-1,2,3,4-tetrahydro-9H-pyrido[3,4b] indole",
Oxolinic acid,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
RN-9893,
Propionylpromazine hydrochloride,CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.Cl
DL-Thiorphan,
"1,10-Phenanthroline monohydrate",
Memantine hydrochloride,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl
Clonixin,Cc1c(Cl)cccc1Nc1ncccc1C(=O)O
Clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
Neostigmine bromide,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-]
N-Methyl-beta-carboline-3-carboxamide,
Maprotiline hydrochloride,CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl
Propofol,CC(C)c1cccc(C(C)C)c1O
Demeclocycline hydrochloride,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12.Cl
Leflunomide,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
D3-βArr,
T0070907,
Phenserine,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12
CYM-5520,
Amsacrine hydrochloride,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12.Cl
NO-711 hydrochloride,
BAY 41-8543,
Milrinone,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
Cambinol,O=c1[nH]c(=S)[nH]c(-c2ccccc2)c1Cc1c(O)ccc2ccccc12
Macelignan,
Clevidipine Butyrate,
SAR-20347,
ML324,
Cyproheptadine hydrochloride,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.Cl
(+)-Hydrastine,
"1,3-Dipropyl-7-methylxanthine",
Steviol,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O)C3
Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O
Vanillic acid diethylamide,
Tazarotene,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1
Cetirizine dihydrochloride,
Tienilic acid,
Procainamide hydrochloride,CCN(CC)CCNC(=O)c1ccc(N)cc1.Cl
(±)-Ibuprofen,
Alaproclate hydrochloride,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1.Cl
Pinacidil,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C.O
Nitisinone,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
CX614,
Zaprinast,CCCOc1ccccc1-c1nc2[nH]nnc2c(=O)[nH]1
Roslin 2,
Ro 41-0960,
IR415,
Prilocaine hydrochloride,CCCNC(C)C(=O)Nc1ccccc1C.Cl
Suprofen,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
CR 2249,
CL075,
Nocodazole,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
(-)-Quinpirole hydrochloride,
Diclofenac sodium,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]
Yoda1,
NNGH,
Olprinone hydrochloride,
Niclosamide,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
S(-)-Timolol maleate,
6-Hydroxymelatonin,
S(+)-Ibuprofen,
Meclofenamic acid sodium,
Benzamil hydrochloride,Cl.N/C(=N\C(=O)c1nc(Cl)c(N)nc1N)NCc1ccccc1
"Quipazine, 6-nitro-, maleate",
Tyrphostin 51,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1
"9-Amino-1,2,3,4-tetrahydroacridine hydrochloride",
Cirazoline hydrochloride,Cl.c1ccc(C2CC2)c(OCC2=NCCN2)c1
6(5H)-Phenanthridinone,
GW9662,
Bupropion hydrochloride,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl
Isotharine mesylate,
Clorgyline hydrochloride,C#CCN(C)CCCOc1ccc(Cl)cc1Cl.Cl
Procaine hydrochloride,CCN(CC)CCOC(=O)c1ccc(N)cc1.Cl
Pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
Tetrahydrozoline hydrochloride,Cl.c1ccc2c(c1)CCCC2C1=NCCN1
Bay 11-7085,
ANA-12,
U-101958 maleate,
Leukadherin-1,
Disopyramide phosphate,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C.O=P(O)(O)O
Carboprost tromethamine,CCCCC[C@](C)(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O.NC(CO)(CO)CO
Methysergide maleate,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1.O=C(O)/C=C\C(=O)O
CGS-15943,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
SGC-AAK1-1,
Progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
Perphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
Disopyramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
Niflumic acid,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
Pivmecillinam,
Autophinib,
Aurintricarboxylic acid,O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O
Noscapine hydrchloride,
Trifluperidol hydrochloride,Cl.O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1
Glipizide,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
6-Methyl-2-(phenylethynyl)pyridine hydrochloride,
Clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
Pt-ttpy,
NADPH tetrasodium,
"3-alpha,21-Dihydroxy-5-alpha-pregnan-20-one",
Efaroxan hydrochloride,CCC1(C2=NCCN2)Cc2ccccc2O1.Cl
Podophyllotoxin,
Ketanserin tartrate,O=C(O)C(O)C(O)C(=O)O.O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
"Urapidil, 5-Methyl-",
"(-)-Scopolamine,n-Butyl-, bromide",
Biperiden hydrochloride,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
Triamcinolone,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
Aminobenztropine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1N)C2
SR 59230A oxalate,
Loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
Propafenone hydrochloride,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1.Cl
Dapagliflozin,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
Buspirone hydrochloride,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
FPL 64176,
Cefsulodin sodium salt hydrate,NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)C(c4ccccc4)S(=O)(=O)[O-])[C@H]3SC2)cc1.O.[Na+]
4-DAMP methiodide,
SirReal2,
Loxiglumide,CCCCCN(CCCOC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1
Pregnenolone sulfate sodium,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)[O-])CC[C@]4(C)[C@H]3CC[C@]12C.[Na+]
GW9508,O=C(O)CCc1ccc(NCc2cccc(Oc3ccccc3)c2)cc1
Nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
"L-732,138",
Clemastine fumarate,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O
YS-035 hydrochloride,
Isavuconazole,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F
Droperidol,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
Thioridazine hydrochloride,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl
CX 546,
R(+)-3PPP hydrochloride,
Efavirenz,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
S 24795,
PNU-282987,O=C(N[C@H]1CN2CCC1CC2)c1ccc(Cl)cc1
1-(5-Isoquinolinylsulfonyl)-2-methylpiperazine dihydrochloride,
Lonidamine,O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12
Quinelorane dihydrochloride,
L2-b,
S(-)-3PPP hydrochloride,
Piceatannol,Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1
Sematilide monohydrochloride monohydrate,
Famciclovir,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
Daidzein,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
SP600125,
SB 204741,
Cefazolin sodium,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1.[Na+]
Cyclothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
erythro-9-(2-Hydroxy-3-nonyl)adenine hydrochloride,
Br-PBTC,
BRL 54443 maleate,
Metoclopramide hydrochloride,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC.Cl.O
Nefiracetam,Cc1cccc(C)c1NC(=O)CN1CCCC1=O
(±)-Atenolol,
SKF-89145 hydrobromide,
(-)-Naproxen sodium,
Diethylenetriaminepentaacetic acid,
Ibudilast,CC(C)C(=O)c1c(C(C)C)nn2ccccc12
PPADS,
Na-p-Tosyl-L-lysine chloromethyl ketone hydrochloride,
Naphazoline hydrochloride,Cl.c1ccc2c(CC3=NCCN3)cccc2c1
Dipropyldopamine hydrobromide,Br.CCCN(CCC)CCc1ccc(O)c(O)c1
Emodin,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O
3-MFA,
EGTA,
Meloxicam sodium,Cc1cnc(NC(=O)C2=C([O-])c3ccccc3S(=O)(=O)N2C)s1.[Na+]
SIB 1893,
Methapyrilene hydrochloride,CN(C)CCN(Cc1cccs1)c1ccccn1.Cl
Tolazamide,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
Luliconazole,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1
Succinylcholine chloride,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C.[Cl-].[Cl-]
McN-A-343,
S(-)-Atenolol,
"7,8-Dihydroxyflavone hydrate",
Trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
Lidocaine hydrochloride,CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl.O
KINK-1 hydrochloride,
Arbidol hydrochloride,
Mitoxantrone,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
TMB-8 hydrochloride,
Doxycycline hydrochloride,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl
SRS11-92,
U-69593,CN(C(=O)Cc1ccccc1)[C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1
AGK2,
Caroverine hydrochloride,
BAY-6035,
alpha-Lobeline hydrochloride,
MS012,
"7-Cyclopentyl-5-(4-phenoxy)phenyl-7H-pyrrolo[2,3-d]pyrimidin-4-ylamine",
GSK1210151A,
"L-165,041",
